,Swap-FI,Swap-M,InsUP-FI,InsUP-M,InsDOWN-FI,InsDOWN-M
ft06,0.21235521,0.35521236,0.18918919,0.40540541,0.21235521,0.24710425
ft06r,0.19081272,0.28621908,0.13427562,0.20848057,0.19081272,0.37102473
ft10,0.40626271,0.54751254,0.37264471,0.42456283,0.40626271,0.41358276
ft10r,0.74137385,0.85169357,0.64086736,0.82241216,0.74137385,0.88841406
ft20,0.31487375,0.39826013,0.27243794,0.29266568,0.31487375,0.32279511
ft20r,0.50320585,0.44723542,0.39043524,0.42249378,0.50320585,0.51240854
tai_j10_m10_1,0.74151063,0.76929401,0.72429145,0.73851667,0.74151063,0.76574159
tai_j10_m10_1r,0.80408856,0.72035958,0.64085622,0.81544385,0.80408856,0.86748895
tai_j100_m10_1,1.23796447,1.17708042,1.20329085,1.19176166,1.23796447,1.21183432
tai_j100_m10_1r,1.30548611,1.24182399,1.29617620,1.25737729,1.30548611,1.34375242
tai_j100_m100_1,6.84722323,6.76950421,6.87276514,6.88925043,6.84722323,7.08092697
tai_j100_m100_1r,6.16289727,6.05694387,6.20184864,6.17526191,6.16289727,6.43195699
tai_j1000_m10_1,1.25800354,1.24736866,1.23949267,1.27541724,1.25800354,1.26063872
tai_j1000_m10_1r,1.24530100,1.25491966,,,1.24530100,1.25555653
GAP promedio,1.56938278,1.58024482,1.55219779,1.60915765,1.56938278,1.64094471
